MS,MS Name,CCI,Title,Fund,Objective,Initially planned EU amount,De-commitments (n+2/n+3),De-commitments at closure,Net planned EU amount,Cumulative pre-financing,Cumulative recovery of pre-financing (at closure),Cumulative net pre-financing,Cumulative interim payments,Cumulative recovery of expenses (at closure),Cumulative net interim payments,Closure payments,Total closure recoveries,Total net payments,EU payment rate compared to initial planned EU amount
MT,Malta,2007MT161PO001,Operational Programme I - Investing in Competitiveness for a Better Quality of Life,CF,Convergence,"284,145,020.00",0,0,"284,145,020.00","29,835,227.10",0,"29,835,227.10","240,102,541.90",0,"240,102,541.90","14,207,251.00",0,"284,145,020.00",100
HU,Magyarország,2007HU161PO002,Operational Programme for Environment and Energy,CF,Convergence,"3,989,243,777.00",0,0,"3,989,243,777.00","472,851,900.62",0,"472,851,900.62","3,316,929,687.53",0,"3,316,929,687.53","199,462,188.85",0,"3,989,243,777.00",100
PL,Polska,2007PL161PO015,Regionalny Program Operacyjny Województwa Pomorskiego,ERDF,Convergence,"938,379,686.00",0,0,"938,379,686.00","79,655,918.58",0,"79,655,918.58","811,804,783.12",0,"811,804,783.12","46,918,984.30",0,"938,379,686.00",100
DE,Germany,2007DE06RPO011,Programm zur Entwicklung des Ländlichen Raums des Landes Mecklenburg-Vorpommern 2007-2013,EAFRD,,"975,077,375.00",0,"17,424,197.56","957,653,177.44","68,255,416.25",0,"68,255,416.25","858,068,090.00",0,"858,068,090.00","31,329,671.19",0,"957,653,177.44",98.21
IT,Italia,2007IT162PO007,Por Marche FESR,ERDF,Regional Competitiveness and Employment,"111,745,248.00",0,0,"111,745,248.00","8,468,004.60",0,"8,468,004.60","97,689,981.00",0,"97,689,981.00","5,587,262.40",0,"111,745,248.00",100
PL,Polska,2007PL161PO012,Regionalny Program Operacyjny Województwa Opolskiego na lata 2007-2013,ERDF,Convergence,"491,446,973.00",0,0,"491,446,973.00","38,443,033.17",0,"38,443,033.17","428,431,591.18",0,"428,431,591.18","24,572,348.65",0,"491,446,973.00",100
IT,Italy,2007IT06RPO011,Trento - PSR- 2007-2013,EAFRD,,"108,566,000.00",0,"634,184.96","107,931,815.04","7,645,400.00",0,"7,645,400.00","95,492,300.00",0,"95,492,300.00","4,794,115.04",0,"107,931,815.04",99.42
CZ,Ceska Republika,2007CZ161PO001,ROP NUTS II Jihovýchod,ERDF,Convergence,"720,363,547.00",0,0,"720,363,547.00","63,400,107.24",0,"63,400,107.24","620,945,262.41",0,"620,945,262.41","36,018,177.35",0,"720,363,547.00",100
ES,Spain,2007ES06RPO004,PDR de illes Balears,EAFRD,,"47,896,219.17","483,400.17","2,370,640.78","45,042,178.22","3,319,954.96","1,570,468.31","1,749,486.65","41,722,223.09",0,"41,722,223.09",0,"1,570,468.31","43,471,709.74",90.76
HU,Magyarország,2007HU161PO009,Operational Programme for North Great Plain,ERDF,Convergence,"975,070,186.00",0,0,"975,070,186.00","87,756,316.74",0,"87,756,316.74","838,560,359.96",0,"838,560,359.96","48,753,509.30",0,"975,070,186.00",100
GR,Ellada,2007GR161PO007,Δυτική Ελλάδα - Πελοπόννησος - Ιόνιοι Νήσοι,ERDF,Convergence,"899,000,000.00",0,0,"899,000,000.00","68,550,000.00",0,"68,550,000.00","830,450,000.00",0,"830,450,000.00",0,0,"899,000,000.00",100
DE,Deutschland,2007DE052PO008,Operationelles Programm ESF Nordrhein-Westfalen 2007-2013,ESF,Regional Competitiveness and Employment,"683,996,369.00",0,0,"683,996,369.00","51,299,727.68",0,"51,299,727.68","598,496,822.87",0,"598,496,822.87","34,199,818.45",0,"683,996,369.00",100
IT,Italia,2007IT162PO005,Por Liguria FESR,ERDF,Regional Competitiveness and Employment,"166,764,161.00",0,0,"166,764,161.00","12,610,911.60",0,"12,610,911.60","145,815,041.35",0,"145,815,041.35","8,338,208.05",0,"166,764,161.00",100
PT,Portugal,2007PT161PO005,PO Regional do Algarve 2007-2013,ERDF,Convergence,"174,952,016.00",0,0,"174,952,016.00","13,121,401.20",0,"13,121,401.20","153,083,014.00",0,"153,083,014.00","8,747,600.80",0,"174,952,016.00",100
EE,Eesti,2007EE14FPO001,Estonian operational programme of the European Fisheries Fund 2007-2013,EFF,Convergence,"84,568,039.00",0,"1,402,620.75","83,165,418.25","5,919,762.73",0,"5,919,762.73","74,419,874.32","1,564,310.41","72,855,563.91","1,051,096.21","1,564,310.41","79,826,422.85",94.39
FR,France,2007FR162PO019,Programme opérationnel FEDER POITOU-CHARENTES,ERDF,Regional Competitiveness and Employment,"201,493,631.00",0,0,"201,493,631.00","15,112,022.33",0,"15,112,022.33","176,306,927.12",0,"176,306,927.12","10,074,681.55",0,"201,493,631.00",100
UK,United Kingdom,2007UK162PO008,North West England ERDF Regional Competitiveness and Employment Operational Programme,ERDF,Regional Competitiveness and Employment,"755,754,611.00",0,0,"755,754,611.00","56,681,595.83",0,"56,681,595.83","661,285,284.62",0,"661,285,284.62","37,787,730.55",0,"755,754,611.00",100
FR,France,2007FR161PO003,Programme opérationnel FEDER Martinique,ERDF,Convergence,"417,155,833.00",0,"4,810,031.70","412,345,801.30","31,286,687.48",0,"31,286,687.48","365,011,353.87",0,"365,011,353.87","16,047,759.95",0,"412,345,801.30",98.85
PL,Polska,2007PL161PO005,Regionalny Program Operacyjny dla Województwa Dolnośląskiego na lata 2007-2013,ERDF,Convergence,"1,240,184,092.00",0,0,"1,240,184,092.00","109,183,039.11",0,"109,183,039.11","1,068,991,848.29",0,"1,068,991,848.29","62,009,204.60",0,"1,240,184,092.00",100
DE,Deutschland,2007DE161PO002,Operationelles Programm EFRE Brandenburg 2007-2013,ERDF,Convergence,"1,498,732,588.00",0,"9,004,561.15","1,489,728,026.85","112,404,944.10",0,"112,404,944.10","1,311,391,014.50",0,"1,311,391,014.50","11,435,364.04",0,"1,435,231,322.64",95.76
HU,Magyarország,2007HU161PO002,Operational Programme for Environment and Energy,ERDF,Convergence,"517,459,707.00",0,0,"517,459,707.00","35,642,802.24",0,"35,642,802.24","455,943,919.41",0,"455,943,919.41","25,872,985.35",0,"517,459,707.00",100
FR,France,2007FR14FPO001,programme opérationnel FEP 2007-2013,EFF,Non Convergence,"181,802,741.00","4,909,183.00","10,758,983.38","166,134,574.62","25,452,382.00","15,907,288.53","9,545,093.47","140,682,192.62",0,"140,682,192.62",0,"15,907,288.53","150,227,286.09",82.63
HU,Magyarország,2007HU16UPO001,Operational Programme for Electronic Public Administration,ERDF,Convergence,"282,022,559.00",0,0,"282,022,559.00","25,382,030.31",0,"25,382,030.31","239,279,059.34",0,"239,279,059.34",0,0,"264,661,089.65",93.84
IT,Italy,2007IT06RPO003,Emilia Romagna - PSR 2007-2013,EAFRD,,"527,819,000.00",0,"36,590.40","527,782,409.60","33,850,950.00",0,"33,850,950.00","467,577,100.00",0,"467,577,100.00","26,354,359.60",0,"527,782,409.60",99.99
ES,España,2007ES052PO009,PO FSE NAVARRA,ESF,Regional Competitiveness and Employment,"19,214,969.00",0,0,"19,214,969.00","1,441,122.68",0,"1,441,122.68","16,813,097.87",0,"16,813,097.87","960,748.45",0,"19,214,969.00",100
DE,Germany,2007DE06RPO003,Baden- Württemberg EPLR,EAFRD,,"676,820,253.00",0,"761,237.23","676,059,015.77","47,330,517.71",0,"47,330,517.71","595,648,722.64",0,"595,648,722.64","33,079,775.42",0,"676,059,015.77",99.89
HU,Magyarország,2007HU162PO001,Operational Programme for Central Hungary,ERDF,Regional Competitiveness and Employment,"1,467,196,353.00",0,0,"1,467,196,353.00","132,047,671.77",0,"132,047,671.77","1,261,788,863.58",0,"1,261,788,863.58","73,359,817.65",0,"1,467,196,353.00",100
FR,France,2007FR161PO004,Programme opérationnel FEDER Réunion,ERDF,Convergence,"1,014,291,774.00",0,0,"1,014,291,774.00","76,071,883.05",0,"76,071,883.05","887,505,302.25",0,"887,505,302.25","50,714,588.70",0,"1,014,291,774.00",100
SE,Sverige,2007SE162PO001,Skåne-Blekinge,ERDF,Regional Competitiveness and Employment,"70,690,065.00",0,"2,480,639.13","68,209,425.87","5,301,754.88",0,"5,301,754.88","61,853,806.87",0,"61,853,806.87","1,053,864.12",0,"68,209,425.87",96.49
GR,Ellada,2007GR161PO008,Μακεδονία - Θράκη,ERDF,Convergence,"2,575,000,000.00",0,0,"2,575,000,000.00","200,625,000.00",0,"200,625,000.00","2,374,375,000.00",0,"2,374,375,000.00",0,0,"2,575,000,000.00",100
PT,Portugal,2007PT14FPO001,Programa Operacional Pesca - 2007-2013,EFF,Non Convergence,"22,542,190.00","3,057,947.00","2,824,000.17","16,660,242.83","3,155,906.00","2,781,403.55","374,502.45","13,504,336.83",0,"13,504,336.83",0,"2,781,403.55","13,878,839.28",61.57
LT,Lietuva,2007LT14FPO001,Operational Programme for Lithuania,EFF,Convergence,"54,713,408.00",0,"943,984.27","53,769,423.73","7,659,877.12",0,"7,659,877.12","44,317,860.48","1,358.56","44,316,501.92","1,048,215.92","1,358.56","53,024,594.96",96.91
PT,Portugal,2007PT05UPO002,PO Assistência Técnica FSE,ESF,Regional Competitiveness and Employment,"2,270,063.00",0,0,"2,270,063.00","181,605.07",0,"181,605.07","1,974,954.78",0,"1,974,954.78","113,503.15",0,"2,270,063.00",100
ES,Spain,2007ES06RPO007,PDR de Castilla-la-Mancha,EAFRD,,"1,143,138,224.00",0,"47,428,699.71","1,095,709,524.29","79,341,175.41",0,"79,341,175.41","1,006,640,137.39",0,"1,006,640,137.39","9,728,211.49",0,"1,095,709,524.29",95.85
DE,Germany,2007DE06RPO019,Sachsen - Entwicklungsplan für den ländlichen Raum 2007 - 2013,EAFRD,,"991,504,736.00",0,"133,746.61","991,370,989.39","69,359,131.52",0,"69,359,131.52","872,570,367.68",0,"872,570,367.68","49,441,490.19",0,"991,370,989.39",99.99
IT,Italia,2007IT052PO011,FSE - Programma Operativo Regione Piemonte (settembre 2015),ESF,Regional Competitiveness and Employment,"394,622,239.00",0,0,"394,622,239.00","29,796,290.18",0,"29,796,290.18","345,094,836.87",0,"345,094,836.87","19,731,111.95",0,"394,622,239.00",100
CB,EU cross-border cooperation,2007CB163PO002,Operational Programme Objective European Territorial Co-operation Austria - Czech Republic 2007-2013,ERDF,European Territorial Cooperation,"107,435,393.00",0,"5,028,390.34","102,407,002.66","9,669,185.37",0,"9,669,185.37","92,394,437.98",0,"92,394,437.98","343,379.31",0,"102,407,002.66",95.32
ES,España,2007ES052PO001,P.O. FSE CANARIAS,ESF,Regional Competitiveness and Employment,"117,291,876.00",0,0,"117,291,876.00","8,796,890.70",0,"8,796,890.70","102,630,391.50",0,"102,630,391.50","5,864,593.80",0,"117,291,876.00",100
ES,España,2007ES052PO003,PO FSE COMUNIDAD VALENCIANA,ESF,Regional Competitiveness and Employment,"198,374,973.20","18,917,849.20","2,107,998.41","177,349,125.59","14,878,122.98",0,"14,878,122.98","155,606,144.82",0,"155,606,144.82","6,864,857.29",0,"177,349,125.09",89.4
IT,Italy,2007IT06RPO019,Programma di Sviluppo Rurale della Regione Campania 2007-2013,EAFRD,,"1,110,774,000.00",0,"36,192,846.94","1,074,581,153.06","78,318,170.00",0,"78,318,170.00","976,917,130.00",0,"976,917,130.00","19,345,853.06",0,"1,074,581,153.06",96.74
LT,Lietuva,2007LT161PO001,2007-2013 m. Sanglaudos skatinimo veiksmų programa,ERDF,Convergence,"1,503,278,629.00",0,0,"1,503,278,629.00","132,784,939.89",0,"132,784,939.89","1,295,329,757.66",0,"1,295,329,757.66","75,163,931.45",0,"1,503,278,629.00",100
UK,United Kingdom,2007UK06RPO002,Northern Ireland Rural Development Programme,EAFRD,,"329,517,994.00",0,"486,162.71","329,031,831.29","14,764,854.44",0,"14,764,854.44","298,277,239.86",0,"298,277,239.86","15,989,736.99",0,"329,031,831.29",99.85
CB,EU cross-border cooperation,2007CB163PO064,Programme transfrontalier Grande Région,ERDF,European Territorial Cooperation,"105,996,517.00",0,0,"105,996,517.00","7,949,738.78",0,"7,949,738.78","92,746,952.37",0,"92,746,952.37","5,299,825.85",0,"105,996,517.00",100
IT,Italia,2007IT052PO017,Pon Azioni di Sistema - riprogrammazione Aprile 2014,ESF,Regional Competitiveness and Employment,"58,680,066.00",0,"344,936.79","58,335,129.21","2,151,004.95",0,"2,151,004.95","53,595,057.75",0,"53,595,057.75","2,589,066.51",0,"58,335,129.21",99.41
ES,Spain,2007ES06RPO013,PDR de Murcia,EAFRD,,"219,240,689.00",0,"5,249,535.70","213,991,153.30","15,195,434.45",0,"15,195,434.45","193,083,220.10",0,"193,083,220.10","5,712,498.75",0,"213,991,153.30",97.61
RO,România,2007RO161PO004,Sectoral Operational Programme Environment,CF,Convergence,"3,275,817,943.00",0,"163,790,897.15","3,112,027,045.85","409,477,242.87",0,"409,477,242.87","2,702,549,802.98",0,"2,702,549,802.98",0,0,"3,112,027,045.85",95
DE,Deutschland,2007DE162PO008,Operationelles Programm EFRE Baden-Württemberg 2007-2013,ERDF,Regional Competitiveness and Employment,"143,400,068.00",0,0,"143,400,068.00","10,755,005.10",0,"10,755,005.10","125,475,059.50",0,"125,475,059.50","7,170,003.40",0,"143,400,068.00",100
PT,Portugal,2007PT14FPO001,Programa Operacional Pesca - 2007-2013,EFF,Convergence,"223,943,059.00","17,563,035.00","3,789,937.89","202,590,086.11","31,352,028.00",0,"31,352,028.00","168,277,894.12",0,"168,277,894.12","2,960,163.99",0,"202,590,086.11",90.46
AT,Österreich,2007AT161PO001,OP Burgenland 2007-2013: Ziel Konvergenz/Phasing Out / EFRE,ERDF,Convergence,"125,026,964.00",0,"4,131,279.03","120,895,684.97","9,377,022.30",0,"9,377,022.30","109,398,593.50",0,"109,398,593.50","2,120,069.17",0,"120,895,684.97",96.7
ES,Spain,2007ES06RPO017,VALENCIA RDP,EAFRD,,"176,475,904.00","5,440,082.00","8,551,791.10","162,484,030.90","12,234,679.80","3,136,543.42","9,098,136.38","150,249,351.10","115,018.57","150,134,332.53",0,"3,251,561.99","159,232,468.91",90.23
FR,France,2007FR162PO002,Programme opérationnel FEDER CENTRE,ERDF,Regional Competitiveness and Employment,"196,185,531.00",0,"5,604,670.26","190,580,860.74","14,713,914.83",0,"14,713,914.83","171,662,339.62",0,"171,662,339.62","4,204,606.29",0,"190,580,860.74",97.14
PL,Polska,2007PL161PO003,Program Operacyjny Rozwój Polski Wschodniej 2007-2013,ERDF,Convergence,"2,387,709,248.00",0,0,"2,387,709,248.00","204,641,437.50",0,"204,641,437.50","2,063,682,348.10",0,"2,063,682,348.10","119,385,462.40",0,"2,387,709,248.00",100
PT,Portugal,2007PT052PO001,PO Valorização do Potencial Humano e Coesão Social da RAMadeira,ESF,Regional Competitiveness and Employment,"135,378,798.00",0,0,"135,378,798.00","9,375,000.00",0,"9,375,000.00","119,234,858.10",0,"119,234,858.10","6,768,939.90",0,"135,378,798.00",100
HU,Hungary,2007HU06RPO001,New Hungary Rural development Programme,EAFRD,,"3,860,091,392.00",0,"92,858,532.50","3,767,232,859.50","270,206,397.40",0,"270,206,397.40","3,396,880,425.00",0,"3,396,880,425.00","100,146,037.10",0,"3,767,232,859.50",97.59
RO,România,2007RO161PO004,Sectoral Operational Programme Environment,ERDF,Convergence,"1,136,652,195.00",0,"264,855,931.93","871,796,263.07","111,298,697.55",0,"111,298,697.55","760,497,565.52",0,"760,497,565.52",0,0,"871,796,263.07",76.7
CB,EU cross-border cooperation,2007CB163PO022,ESPON 2013 Programme,ERDF,European Territorial Cooperation,"34,033,512.00",0,"1,701,675.60","32,331,836.40","3,063,016.08","57,537.43","3,005,478.65","29,268,820.32","1,999.76","29,266,820.56",0,"59,537.19","32,272,299.21",94.83
IT,Italia,2007IT051PO002,Por Calabria FSE 2007 - 2013,ESF,Convergence,"430,249,377.00",0,"31,368,264.06","398,881,112.94","32,268,703.28",0,"32,268,703.28","256,234,255.65",0,"256,234,255.65",0,0,"288,502,958.93",67.05
CB,EU cross-border cooperation,2007CB163PO011,Program Operacyjny Współpracy Transgranicznej Polska (Woj. Lubuskie) -Brandenburgia 2007-2013,ERDF,European Territorial Cooperation,"124,500,317.00",0,"2,817,302.47","121,683,014.53","11,205,028.53",0,"11,205,028.53","107,070,272.62",0,"107,070,272.62","3,322,882.96",0,"121,598,184.11",97.67
DE,Deutschland,2007DE051PO001,Operationelles Programm ESF Brandenburg 2007-2013,ESF,Convergence,"620,249,615.00",0,"12,187,282.36","608,062,332.64","46,518,721.13",0,"46,518,721.13","542,718,413.12",0,"542,718,413.12","18,451,133.63",0,"607,688,267.88",97.97
PL,Polska,2007PL161PO011,Regionalny Program Operacyjny Województwa Mazowieckiego,ERDF,Convergence,"1,868,602,800.00",0,0,"1,868,602,800.00","164,834,702.82",0,"164,834,702.82","1,610,337,957.18",0,"1,610,337,957.18","93,430,140.00",0,"1,868,602,800.00",100
IT,Italy,2007IT06RPO015,Molise - Programma di Sviluppo Rurale - 2007-2013,EAFRD,,"92,959,000.00",0,"11,204.81","92,947,795.19","6,546,820.00",0,"6,546,820.00","81,764,230.00",0,"81,764,230.00","4,636,745.19",0,"92,947,795.19",99.99
CB,EU cross-border cooperation,2007CB163PO039,Programme opérationnel INTERREG IV A Rhin supérieur,ERDF,European Territorial Cooperation,"67,228,023.00",0,"2,547,550.06","64,680,472.94","5,042,101.73",0,"5,042,101.73","58,824,520.12",0,"58,824,520.12","813,851.09",0,"64,680,472.94",96.21
IT,Italia,2007IT052PO012,Por Toscana FSE,ESF,Regional Competitiveness and Employment,"310,649,767.00",0,0,"310,649,767.00","23,478,418.05",0,"23,478,418.05","271,638,860.60",0,"271,638,860.60","15,532,488.35",0,"310,649,767.00",100
NL,Nederland,2007NL14FPO001,Operationeel programma Nederland,EFF,Non Convergence,"48,578,417.00","5,295,639.00","7,823,950.79","35,458,827.21","3,400,489.19","3,369,780.66","30,708.53","31,992,682.02",0,"31,992,682.02",0,"3,369,780.66","32,023,390.55",65.92
CB,EU cross-border cooperation,2007CB163PO031,Lithuania - Poland 2007-2013 European Teritorial Cooperation Objective Operational Programme,ERDF,European Territorial Cooperation,"74,145,121.00",0,"3,212,922.90","70,932,198.10","6,451,996.50",0,"6,451,996.50","63,985,868.45",0,"63,985,868.45","494,333.15",0,"70,932,198.10",95.67
FR,France,2007FR16UPO001,Europact,ERDF,Regional Competitiveness and Employment,"25,920,657.00",0,"286,275.20","25,634,381.80","1,944,049.28",0,"1,944,049.28","22,994,918.46",0,"22,994,918.46","695,414.06",0,"25,634,381.80",98.9
AT,Österreich,2007AT162PO002,OP Oberösterreich 2007-2013: Ziel Regionale Wettbewerbsfähigkeit & Beschäftigung / EFRE,ERDF,Regional Competitiveness and Employment,"95,543,517.00",0,0,"95,543,517.00","7,165,763.78",0,"7,165,763.78","83,600,577.37",0,"83,600,577.37","4,777,175.85",0,"95,543,517.00",100
SE,Sverige,2007SE162PO004,Östra Mellansverige,ERDF,Regional Competitiveness and Employment,"81,028,706.00",0,0,"81,028,706.00","6,077,152.95",0,"6,077,152.95","70,900,117.75",0,"70,900,117.75","4,051,435.30",0,"81,028,706.00",100
IT,Italia,2007IT052PO006,Por Lombardia FSE,ESF,Regional Competitiveness and Employment,"337,256,050.00",0,0,"337,256,050.00","25,351,320.98",0,"25,351,320.98","246,422,763.98",0,"246,422,763.98","65,481,965.04",0,"337,256,050.00",100
IT,Italy,2007IT06RPO012,Umbria - programma di sviluppo rurale - 2007-2013,EAFRD,,"353,613,000.00",0,"87,589.98","353,525,410.02","24,973,060.00",0,"24,973,060.00","310,959,290.00",0,"310,959,290.00","17,593,060.02",0,"353,525,410.02",99.98
GR,Ellada,2007GR161PO002,Ψηφιακή Σύγκλιση,ERDF,Convergence,"605,000,000.00",0,0,"605,000,000.00","64,500,000.00",0,"64,500,000.00","540,500,000.00",0,"540,500,000.00",0,0,"605,000,000.00",100
EE,Eesti,2007EE161PO002,Operational Programme for the Development of Living Environment,ERDF,Convergence,"922,565,103.00",0,0,"922,565,103.00","88,288,231.50",0,"88,288,231.50","788,148,616.35",0,"788,148,616.35","46,128,255.15",0,"922,565,103.00",100
ES,España,2007ES05UPO003,PO FSE ASISTENCIA TÉCNICA,ESF,Regional Competitiveness and Employment,"10,087,277.00",0,"67,937.64","10,019,339.36","857,723.18",0,"857,723.18","8,742,075.73",0,"8,742,075.73","419,540.45",0,"10,019,339.36",99.33
ES,España,2007ES161PO002,Programa Operativo FEDER de Melilla,ERDF,Convergence,"43,788,494.00",0,0,"43,788,494.00","3,284,137.05",0,"3,284,137.05","36,765,345.08",0,"36,765,345.08","3,739,011.87",0,"43,788,494.00",100
CB,EU cross-border cooperation,2007CB163PO050,ESTONIA – LATVIA PROGRAMME  2007-2013,ERDF,European Territorial Cooperation,"38,228,549.00",0,0,"38,228,549.00","3,440,569.41",0,"3,440,569.41","32,876,552.14",0,"32,876,552.14","1,911,427.45",0,"38,228,549.00",100
HU,Magyarország,2007HU05UPO002,Operational Programme for State Reform,ESF,Convergence,"104,899,846.00",0,0,"104,899,846.00","13,377,061.75",0,"13,377,061.75","84,162,315.71",0,"84,162,315.71","7,360,468.54",0,"104,899,846.00",100
CB,EU cross-border cooperation,2007CB163PO016,Sweden - Norway,ERDF,European Territorial Cooperation,"37,223,705.00",0,0,"37,223,705.00","2,791,777.88",0,"2,791,777.88","32,570,741.87",0,"32,570,741.87","1,861,185.25",0,"37,223,705.00",100
HR,Hrvatska,2007HR161PO001,Environment,CF,Convergence,"286,318,855.00","5,219,844.00","968,831.02","280,130,179.98","78,430,075.00",0,"78,430,075.00","188,613,985.45",0,"188,613,985.45","13,086,119.53",0,"280,130,179.98",97.84
CB,EU cross-border cooperation,2007CB163PO035,Programma Operativo di Cooperazione Transfrontaliera Italia - Svizzera 2007-2013,ERDF,European Territorial Cooperation,"68,811,858.00",0,0,"68,811,858.00","5,160,889.35",0,"5,160,889.35","60,210,375.75",0,"60,210,375.75","3,440,592.90",0,"68,811,858.00",100
ES,España,2007ES162PO006,Programa Operativo FEDER de Cataluña,ERDF,Regional Competitiveness and Employment,"679,074,228.00",0,0,"679,074,228.00","50,930,567.10",0,"50,930,567.10","590,433,998.13",0,"590,433,998.13","37,709,662.77",0,"679,074,228.00",100
BE,Belgique-België,2007BE161PO001,Programme opérationnel 'Convergence' Hainaut - FEDER,ERDF,Convergence,"449,229,535.00",0,0,"449,229,535.00","33,692,215.13",0,"33,692,215.13","393,075,843.12",0,"393,075,843.12","22,461,476.75",0,"449,229,535.00",100
FR,France,2007FR162PO004,Programme opérationnel FEDER AUVERGNE,ERDF,Regional Competitiveness and Employment,"206,790,459.00",0,0,"206,790,459.00","15,509,284.43",0,"15,509,284.43","180,941,651.62",0,"180,941,651.62","10,339,522.95",0,"206,790,459.00",100
UK,United Kingdom,2007UK162PO004,East of England ERDF Regional Competitiveness and Employment programme,ERDF,Regional Competitiveness and Employment,"110,994,719.00",0,"5,549,735.95","105,444,983.05","8,324,603.93","2,869,309.58","5,455,294.35","97,120,379.12",0,"97,120,379.12",0,"2,869,309.58","102,575,673.47",92.41
CY,Kypros,2007CY16UPO001,Sustainable Development and Competitiveness,CF,Convergence,"213,204,484.00",0,0,"213,204,484.00","22,386,470.82",0,"22,386,470.82","180,157,788.98",0,"180,157,788.98","10,660,224.20",0,"213,204,484.00",100
EE,Estonia,2007EE06RPO001,Estonian Rural Development Plan 2007-2013,EAFRD,,"723,736,855.00",0,"705,332.85","723,031,522.15","50,661,579.85",0,"50,661,579.85","636,888,432.40",0,"636,888,432.40","35,481,509.90",0,"723,031,522.15",99.9
ES,España,2007ES162PO001,Programa Operativo FEDER de Cantabria,ERDF,Regional Competitiveness and Employment,"89,030,873.00",0,0,"89,030,873.00","6,677,315.48",0,"6,677,315.48","77,902,013.87",0,"77,902,013.87","4,451,543.65",0,"89,030,873.00",100
IT,Italy,2007IT06RPO001,Abruzzo-Programma di Sviluppo Rurale 2007-2013,EAFRD,,"192,572,000.00",0,"3,737,493.06","188,834,506.94","13,037,640.00",0,"13,037,640.00","169,905,760.00",0,"169,905,760.00","5,891,106.94",0,"188,834,506.94",98.06
DE,Deutschland,2007DE052PO009,Operationelles Programm ESF Rheinland-Pfalz 2007-2013,ESF,Regional Competitiveness and Employment,"113,766,267.00",0,0,"113,766,267.00","8,532,470.03",0,"8,532,470.03","99,545,483.62",0,"99,545,483.62","5,688,313.35",0,"113,766,267.00",100
DE,Deutschland,2007DE161PO003,Operationelles Programm EFRE 2007 - 2013 Mecklenburg-Vorpommern,ERDF,Convergence,"1,252,420,390.00",0,0,"1,252,420,390.00","93,931,529.25",0,"93,931,529.25","1,095,867,841.25",0,"1,095,867,841.25","62,621,019.50",0,"1,252,420,390.00",100
ES,España,2007ES051PO009,PO FSE MURCIA,ESF,Convergence,"75,743,963.00",0,0,"75,743,963.00","5,680,797.23",0,"5,680,797.23","66,275,967.62",0,"66,275,967.62","3,787,198.15",0,"75,743,963.00",100
PT,Portugal,2007PT162PO001,PO Regional de Lisboa 2007-2013,ERDF,Regional Competitiveness and Employment,"306,689,171.00",0,0,"306,689,171.00","23,001,687.83",0,"23,001,687.83","268,353,024.62",0,"268,353,024.62","15,334,458.55",0,"306,689,171.00",100
CB,EU cross-border cooperation,2007CB163PO012,Program współpracy przygranicznej Polska-Słowacja,ERDF,European Territorial Cooperation,"159,535,701.00",0,0,"159,535,701.00","14,166,698.67",0,"14,166,698.67","137,392,217.28",0,"137,392,217.28","6,969,700.26",0,"158,528,616.21",99.37
SE,Sverige,2007SE162PO006,Norra Mellansverige,ERDF,Regional Competitiveness and Employment,"194,987,837.00",0,"2,146,281.04","192,841,555.96","14,624,087.78",0,"14,624,087.78","170,614,357.37",0,"170,614,357.37","7,603,110.81",0,"192,841,555.96",98.9
UK,United Kingdom,2007UK162PO005,North East England ERDF Regional Competitiveness and Employment programme,ERDF,Regional Competitiveness and Employment,"375,698,920.00",0,0,"375,698,920.00","28,177,419.00",0,"28,177,419.00","328,736,555.00",0,"328,736,555.00","18,784,946.00",0,"375,698,920.00",100
ES,España,2007ES161PO003,Programa Operativo FEDER de Ceuta,ERDF,Convergence,"45,272,610.00",0,0,"45,272,610.00","3,395,445.75",0,"3,395,445.75","39,448,690.17",0,"39,448,690.17","2,428,474.08",0,"45,272,610.00",100
PL,Polska,2007PL161PO004,Program Operacyjny Pomoc Techniczna,ERDF,Convergence,"516,700,000.00",0,"353,409.30","516,346,590.70","46,503,000.00",0,"46,503,000.00","444,362,000.00",0,"444,362,000.00","25,481,590.70",0,"516,346,590.70",99.93
DK,Denmark,2007DK06RPO001,Danish Rural Development Program 2007-2013,EAFRD,,"577,918,796.00",0,"7,932,648.43","569,986,147.57","40,454,315.72",0,"40,454,315.72","508,568,540.48",0,"508,568,540.48","20,963,291.37",0,"569,986,147.57",98.63
CB,EU cross-border cooperation,2007CB163PO003,Operational Programme Objective European Territorial Cooperation Slovakia-Austria 2007-2013,ERDF,European Territorial Cooperation,"59,906,355.00",0,"2,995,317.75","56,911,037.25","5,391,571.95","1,280,820.90","4,110,751.05","51,519,465.30",0,"51,519,465.30",0,"1,280,820.90","55,630,216.35",92.86
IT,Italia,2007IT051PO006,Riprogrammazione Pon Governance e Azioni di Sistema programmazione 2007-2013 - Giugno 2012,ESF,Convergence,"207,143,108.00",0,"1,958,321.23","205,184,786.77","15,535,733.10",0,"15,535,733.10","181,250,219.50",0,"181,250,219.50","8,398,834.17",0,"205,184,786.77",99.05
IT,Italy,2007IT06RPO016,Programma di Sviluppo Rurale della Regione Autonoma della Sardegna per il periodo 2007-2013,EAFRD,,"571,596,000.00",0,"12,924,736.79","558,671,263.21","40,242,930.00",0,"40,242,930.00","502,773,270.00",0,"502,773,270.00","15,655,063.21",0,"558,671,263.21",97.74
